Date,Workout Type,Exercise,Reps and Sets,Weight (Set 1),Reps (Set 1),Weight (Set 2),Reps (Set 2),Weight (Set 3),Reps (Set 3),Weight (Set 4),Reps (Set 4),Weight (Set 5),Reps (Set 5),Note
3/29/2024,Light Pull,Stretch sitting curls,4xFail,35.,6,30.,,30.,,30.,,,,Go 30 again next time till you can go at least 9-10 reps.
3/29/2024,Light Pull,Sitting back rows,4xFail,120.,,120.,,120.,,120.,,,,125? Go 120 and focus on back. Not biceps.
3/29/2024,Light Pull,Rope hammer curl,4xFail,42.5,,42.5,,42.5,,42.5,,,,perfect.
3/29/2024,Light Pull,Sitting overhead pull downs,3xFail,120.,,120.,,120.,,,,,,120-130 range. 140 is too much. Go 120
3/29/2024,Light Pull,Sitting hammer curls,4 Sets + Drop,25.,15,20.,12,20.,10,20.,8,,Dropset,25 too heavy. Go one more week at 20
3/29/2024,Light Pull,21s,2 Sets,40.,21,40.,21,,,,,,,Pretty tough. Didn't finish the last set.
,,,,,,,,,,,,,,
4/9/2024,Heavy Pull,Standing barbell,4 Sets,70.,8,70.,8,70.,8,70.,8,,,this week. Perfect
4/9/2024,-Superset-,,,,,,,,,,,,,
4/9/2024,Heavy Pull,Deadlift,4 Sets,185.,10,185.,10,185.,10,185.,10,,,"Can go 205 next time, back just hurt a lil bit from golf"
4/9/2024,Heavy Pull,Preachers,3xFail + Drop,60.,,60.,,60.,,,Dropset,,,Trying 60. Perfect. Try 65.
4/9/2024,Heavy Pull,Sitting overhead pull downs,3xFail,100.,,100.,,100.,,,,,,Hard. Went 100 to get full rep. Go 110 next week.
,,,,,,,,,,,,,,
4/17/2024,Light Pull,Stretch sitting curls,4xFail,35.,6,30.,,30.,,30.,,,,Go 30 again next time till you can go at least 9-10 reps.
4/17/2024,Light Pull,Sitting back rows,4xFail,60.,,60.,,60.,,60.,,,,
4/17/2024,Light Pull,Rope hammer curl,4xFail,42.5,,42.5,,42.5,,42.5,,,,perfect.
4/17/2024,Light Pull,Sitting overhead pull downs,3xFail,120.,,120.,,120.,,,,,,120-130 range. 140 is too much. Go 120
4/17/2024,Light Pull,Sitting hammer curls,4 Sets + Drop,25.,15,20.,12,20.,10,20.,8,,Dropset,25 too heavy. Go one more week at 20
4/17/2024,Light Pull,21s,2 Sets,40.,21,40.,21,,,,,,,Pretty tough. Didn't finish the last set.
,,,,,,,,,,,,,,
4/25/2024,Heavy Pull,Standing barbell,4 Sets,70.,8,70.,8,70.,8,70.,8,,,this week. Perfect
4/25/2024,-Superset-,,,,,,,,,,,,,
4/25/2024,Heavy Pull,Deadlift,3 Sets,205.,10,205.,10,205.,10,,,,,trying 205. Perfect
4/25/2024,Heavy Pull,Preachers,3xFail + Drop,65.,,65.,,65.,,,Dropset,,,PERFECT
4/25/2024,Heavy Pull,Sitting overhead pull downs,3xFail,100.,,100.,,100.,,,,,,Hard. Went 100 to get full rep. Go 110 next week.
,,,,,,,,,,,,,,
5/1/2024,Heavy Pull,Stretch sitting curls,4xFail,35.,6,30.,,30.,,30.,,,,Go 30 again next time till you can go at least 9-10 reps.
5/1/2024,Heavy Pull,Sitting back rows,4xFail,125.,,125.,,125.,,125.,,,,Perfect. Maybe 5 pounds too heavy.
5/1/2024,Heavy Pull,Rope hammer curl,4xFail,42.5,,42.5,,42.5,,42.5,,,,perfect.
5/1/2024,Heavy Pull,Sitting overhead pull downs,3xFail,120.,,120.,,120.,,,,,,120-130 range. 140 is too much. Go 120
5/1/2024,Heavy Pull,Sitting hammer curls,4 Sets + Drop,25.,15,20.,12,20.,10,20.,8,,Dropset,25 too heavy. Go one more week at 20
5/1/2024,Heavy Pull,21s,2 Sets,40.,21,40.,21,,,,,,,Pretty fuckin hard
,,,,,,,,,,,,,,
